AAA	Abdominal aortic aneurysm
HOH	Hard of hearing
HTN	Hypertension
HPRT deficiency	Hypoxanthine-guanine phosphoribosyl transferase deficiency
HPS	Hantavirus pulmonary syndrome
HPV Infection	Human papillomavirus infection
HSP	Hereditary spastic paraplegia
IBD	Inflammatory bowel disease
IBIDS syndrome	Ichthyosis, brittle hair, intellectual impairment, decreased fertility, and short stature syndrome
IBM	Inclusion body myositis
IBS	Ichthyosis bullosa of Siemens
IBS	Irritable bowel syndrome
IC/PBS	Interstitial cystitis/painful bladder syndrome
ICF syndrome	Immunodeficiency, centromere instability and facial anomalies syndrome
IHA	Idiopathic hyperaldosteronism
IED	Intermittent explosive disorder
IFAP syndrome	Ichthyosis follicularis, alopecia, and photophobia syndrome
INAD	Infantile neuroaxonal dystrophy
IP	Incontinentia pigmenti
IRD	Infantile Refsum disease
IS	Infantile spasm
ITP	Idiopathic thrombocytopenic purpura
JAS	Juvenile anklosing spondylitis
JE	Japanese encephalitis
JHD	Juvenile Huntington's disease
JRA	Juvenile rheumatoid arthritis
KS	Kawasaki syndrome
KSS	Kearns–Sayre syndrome
KTS	Klippel–Trenaunay syndrome
KTW Syndrome	Klippel–Trenaunay–Weber syndrome
LCM	Lymphocytic choriomeningitis
LD	Learning disabilities/differences
LD	Legionnaires' disease
LEMS	Lambert–Eaton myasthenic syndrome
LFA	Low-functioning autism
LGV	Lymphogranuloma venereum
LKS	Landau–Kleffner syndrome
LNS	Lesch–Nyhan syndrome
LP	Lipoid proteinosis
LP	Little person/people (see Dwarfism)
MAC	Mycobacterium avium complex
MBD	Minimal brain dysfunction
MCS	Multiple chemical sensitivities
MD	Muscular dystrophy
MDD	Major depressive disorder
MDR TB	Multi-drug-resistant tuberculosis
MID	Multi-infarct dementia
MJD	Machado–Joseph disease
ML	mucolipidoses
MLD	Metachromatic leukodystrophy
MMA	Monomelic amyotrophy
MMR	Measles, mumps, rubella
MMRV	Measles, mumps, rubella, varicella
MND	Motor neuron disease
MOH	Medication overuse headaches
MPD	Myeloproliferative disorders
MPS I	Mucopolysaccharoidosis type I (see Hurler syndrome)
MPS II	Mucopolysaccharoidosis type II (see Hunter syndrome)
MPS III	Mucopolysaccharoidosis type III (see Sanfilippo syndrome)
MPS IV	Mucopolysaccharoidosis type IV (see Morquio syndrome)
MPS VI	Mucopolysaccharoidosis type VI (see Maroteaux–Lamy syndrome)
MPS VII	Mucopolysaccharoidosis type VII (see Sly syndrome)
MR/DD	Mentally retarded/developmentally disabled
MS	Multiple sclerosis
MSA	Multiple system atrophy
MSDD	Multi-sensory developmental delays
NAS	Neonatal abstinence syndrome
NBIA	Neurodegeneration with brain iron accumulation
NCL	Neuronal ceroid lipofuscinosis
NF1	Neurofibromatosis type 1
NF2	Neurofibromatosis type 2
NKH	Nonketotic hyperglycinemia
NLD	Nonverbal learning disability
NMDs	Neuronal migration disorders
NMO	Neuromyelitis optica
NMS	Neuroleptic malignant syndrome
NP	Niemann–Pick disease
NPC1	Niemann–Pick disease, type C1
NPH	Normal pressure hydrocephalus
NTD	Neural tube defect
NTDs	Neural tube defects
OA	Osteoarthritis
OCD	Obsessive-compulsive disorder
ODD	Oppositional defiant disorder
OMA	Ocular motor apraxia
ON	Osteonecrosis
OPC	Oropharyngeal candidiasis
OPCA	Olivopontocerebellar atrophy
OSA	Obstructive sleep apnea
PBC	Primary biliary cirrhosis
PBD	Peroxisome biogenesis disorders
PCOS	Polycystic ovarian syndrome
PCT	Porphyria cutanea tarda
PD	Parkinson's disease
PDD	Pervasive developmental disorder
PDD-NOS	Pervasive developmental disorder not otherwise specified
PDD/NOS	Pervasive developmental disorder not otherwise specified
PKAN	Panthothenate kinase-associated neurodegeneration
PLMD	Periodic limb movement disorder
PLS	Primary lateral sclerosis
PMD	Pelizaeus–Merzbacher disease
PML	Progressive multifocal leukoencephalopathy
PMS	Premenstrual syndrome
POTS	Postural orthostatic tachycardia syndrome
PPMA	Postpolio progressive muscular atrophy
PPS	Post-polio syndrome
PSC	Primary sclerosing cholangitis
PSP	Progressive supranuclear palsy
PVL	Periventricular leukomalacia
PW	Port-wine stain
Q fever	Query fever
RA	Rheumatoid arthritis
RAD	Reactive airway disease
RIND	Reversible ischemic neurologic deficit
RLF	Retrolental fibroplasia
RLS	Restless legs syndrome
RMDs	Repetitive motion disorders
ROP	Retinopathy of prematurity
RS	Reye's syndrome
RSD	Reflex sympathetic dystrophy
RTI	Respiratory tract infection
SARS	Severe acute respiratory syndrome
SB	Spina bifida
SBS	Shaken baby syndrome
SC	Sydenham chorea
SD	Saint Vitus's dance (see Sydenham chorea)
SIDS	Sudden infant death syndrome
SIRS	Systemic inflammatory response syndrome
SIS	Shaken infant syndrome
SLE	Systemic lupus erythematosus
SM	Selective Mutism
SMA	Spinal muscular atrophy
SMEI	Severe myoclonic epilepsy of infancy
SMS	Smith–Magenis syndrome
SOD	Septo-optic dysplasia
SPS	Stiff person syndrome
SSPE	Subacute sclerosing panencephalitis
STEMI	ST-elevation myocardial infarction
STD	Sexually transmitted disease
SUNCT	Short-lasting unilateral neuralgiform headache with conjunctival injection and tearing
SWS	Sturge–Weber syndrome
TAC	Trigeminal autonomic cephalalgia
TB	Tuberculosis
TBI	Traumatic brain injury
TCS	Tethered cord syndrome
TEF	Tracheoesophageal fistula
TIA	Transient ischemic attack
TMH	Trainable mentally handicapped
TMJ/TMD	Temporomandibular joint disorder
TMR	Trainable mentally retarded
TN	Trigeminal neuralgia
TOS	Thoracic outlet syndrome
TS	Tourette syndrome
TS	Tuberous sclerosis
TSC	Tuberous sclerosis
TSEs	Transmissible spongiform encephalopathies
TSP	Tropical spastic paraparesis
TTH	Tension type headache
TTP	Thrombotic thrombocytopenic purpura
UCPPS	Urologic Chronic Pelvic Pain Syndrome (IC/BPS + CP/CPPS)
UDA	Urticaria-deafness-amyloidosis
UTIs	Urinary tract infections
UC	Ulcerative Colitis
URI	Upper respiratory infection
VCFS	Velo cardio facial syndrome
vCJD	variant Creutzfeldt–Jakob disease
VD	Venereal disease
VHF	Viral hemorrhagic fever
VHL	Von Hippel–Lindau disease
VP	Variegate porphyria
VSD	Ventricular septal defect
VVC	Vulvovaginal candidiasis
VWM disease	Vanishing white matter disease
WAGR syndrome	Wilms tumor, aniridia, genitourinary anomalies, and mental retardation syndrome
WD	Wilson's disease
WEE	Western equine encephalitis
WS	Williams syndrome
XDR TB	Extensively drug-resistant tuberculosis
XLSA	X-linked sideroblastic anemia
XP	Xeroderma pigmentosa
YSS	Young Simpson syndrome
YVS	Yunis–Varon syndrome
ZBLS	Zadik–Barak–Levin syndrome
